Name,Year,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
Hanumangarh,2002,303538,161565,141973,187604,112222,75382,115934,49343,66591,86817,78377,8440,3530,3129,401,216721,83188,133533
Hanumangarh,2002,1214467,639921,574546,608056,387475,220581,606411,252446,353965,541494,335750,205744,59945,47509,12436,672973,304171,368802
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,30206,16227,13979,24097,13335,10762,6109,2892,3217,10081,7760,2321,30,27,3,20125,8467,11658
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hamirpur,2002,869916,470298,399618,385505,268812,116693,484411,201486,282925,358682,235595,123087,57648,43762,13886,511234,234703,276531
Hailakandi,2002,44085,22528,21557,33569,17918,15651,10516,4610,5906,13190,10886,2304,94,85,9,30895,11642,19253
Hailakandi,2002,498787,257985,240802,229978,137756,92222,268809,120229,148580,166691,125624,41067,13902,12320,1582,332096,132361,199735
Gwalior,2002,983008,529253,453755,671834,398223,273611,311174,131030,180144,282082,243797,38285,2627,2026,601,700926,285456,415470
Gwalior,2002,649101,354064,295037,283522,201030,82492,365579,153034,212545,248547,177093,71454,30830,22241,8589,400554,176971,223583
Gurgaon,2002,369004,198288,170716,256058,148567,107491,112946,49721,63225,118598,97907,20691,1256,937,319,250406,100381,150025
Gurgaon,2002,1291285,688163,603122,578635,389941,188694,712650,298222,414428,511060,317270,193790,15114,10890,4224,780225,370893,409332
Gurdaspur,2002,535223,286290,248933,393145,219981,173164,142078,66309,75769,166412,144926,21486,2559,2368,191,368811,141364,227447
Gurdaspur,2002,1568788,826787,742001,952302,543049,409253,616486,283738,332748,534145,426022,108123,54380,49274,5106,1034643,400765,633878
Guntur,2002,1285760,645512,640248,836076,460596,375480,449684,184916,264768,462413,354272,108141,43124,24720,18404,823347,291240,532107
Guntur,2002,3179384,1604767,1574617,1619889,946806,673083,1559495,657961,901534,1727886,975509,752377,790307,395646,394661,1451498,629258,822240
Guna,2002,354813,186985,167828,220367,132987,87380,134446,53998,80448,104620,85805,18815,2226,1561,665,250193,101180,149013
Guna,2002,1311954,697035,614919,577626,396871,180755,734328,300164,434164,578368,368979,209389,86185,59808,26377,733586,328056,405530
Gumla,2002,73742,38146,35596,52081,28814,23267,21661,9332,12329,18822,15190,3632,658,490,168,54920,22956,31964
Gumla,2002,1273025,637623,635402,516153,320409,195744,756872,317214,439658,640099,342250,297849,36973,21574,15399,632926,295373,337553
Gulbarga,2002,852621,440446,412175,505002,293989,211013,347619,146457,201162,248951,194520,54431,12939,7018,5921,603670,245926,357744
Gulbarga,2002,2278301,1152343,1125958,792443,518871,273572,1485858,633472,852386,1101121,618745,482376,279300,125923,153377,1177180,533598,643582
Gorakhpur,2002,738591,390447,348144,489640,284817,204823,248951,105630,143321,171864,155771,16093,2402,2105,297,566727,234676,332051
Gorakhpur,2002,3030865,1532750,1498115,1309129,866033,443096,1721736,666717,1055019,964431,665594,298837,114783,83843,30940,2066434,867156,1199278
Gopalganj,2002,130590,67740,62850,66458,40724,25734,64132,27016,37116,33837,28628,5209,5055,3519,1536,96753,39112,57641
Gopalganj,2002,2022048,1007970,1014078,749715,497531,252184,1272333,510439,761894,607835,450957,156878,145474,107577,37897,1414213,557013,857200
Gondiya,2002,143431,72812,70619,112371,61050,51321,31060,11762,19298,45835,34570,11265,640,353,287,97596,38242,59354
Gondiya,2002,1057276,526022,531254,696043,397216,298827,361233,128806,232427,533761,284451,249310,104087,58215,45872,523515,241571,281944
Gonda,2002,194319,105097,89222,120400,70906,49494,73919,34191,39728,48327,44013,4314,1579,1426,153,145992,61084,84908
Gonda,2002,2571267,1346004,1225263,828942,592386,236556,1742325,753618,988707,890767,687841,202926,90461,72900,17561,1680500,658163,1022337
Golaghat,2002,81138,43678,37460,62570,35282,27288,18568,8396,10172,27658,23665,3993,244,197,47,53480,20013,33467
Golaghat,2002,865141,446608,418533,494790,286766,208024,370351,159842,210509,360982,227216,133766,13423,9560,3863,504159,219392,284767
Godda,2002,37008,19968,17040,25761,15116,10645,11247,4852,6395,9392,8369,1023,515,498,17,27616,11599,16017
Godda,2002,1010931,524075,486856,338064,238388,99676,672867,285687,387180,412549,268382,144167,80873,64206,16667,598382,255693,342689
Goalpara,2002,66902,34545,32357,44317,24697,19620,22585,9848,12737,19875,16936,2939,216,198,18,47027,17609,29418
Goalpara,2002,755133,385706,369427,340353,195580,144773,414780,190126,224654,254050,185676,68374,28413,23533,4880,501083,200030,301053
Giridih,2002,122364,64237,58127,80868,46398,34470,41496,17839,23657,29719,27275,2444,141,129,12,92645,36962,55683
Giridih,2002,1782066,896442,885624,586517,423001,163516,1195549,473441,722108,614925,411195,203730,56035,44972,11063,1167141,485247,681894
Ghazipur,2002,233370,122147,111223,144319,85176,59143,89051,36971,52080,58282,49073,9209,1530,1356,174,175088,73074,102014
Ghazipur,2002,2804212,1414994,1389218,1300552,829054,471498,1503660,585940,917720,895230,592412,302818,103887,72370,31517,1908982,822582,1086400
Ghaziabad,2002,1816415,975856,840559,1144675,679770,464905,671740,296086,375654,486745,441704,45041,4997,4331,666,1329670,534152,795518
Ghaziabad,2002,1474171,793186,680985,755060,488692,266368,719111,304494,414617,451506,365443,86063,35393,30644,4749,1022665,427743,594922
Gaya,2002,475949,253376,222573,304269,179617,124652,171680,73759,97921,120026,102457,17569,6813,5067,1746,355923,150919,205004
Gaya,2002,2997479,1538787,1458692,1101184,733403,367781,1896295,805384,1090911,1157613,747014,410599,388745,252374,136371,1839866,791773,1048093
Gautam Buddha Nagar,2002,449415,246688,202727,280611,169976,110635,168804,76712,92092,145005,123715,21290,1716,1540,176,304410,122973,181437
Gautam Buddha Nagar,2002,752615,406131,346484,395058,264773,130285,357557,141358,216199,218809,180223,38586,15778,13772,2006,533806,225908,307898
Garhwal,2002,89875,49355,40520,69472,40200,29272,20403,9155,11248,25339,22154,3185,52,49,3,64536,27201,37335
Garhwal,2002,607203,281706,325497,392203,213070,179133,215000,68636,146364,244532,112876,131656,997,635,362,362671,168830,193841
Garhwa,2002,42639,22888,19751,25439,15456,9983,17200,7432,9768,11177,9762,1415,747,587,160,31462,13126,18336
Garhwa,2002,992825,512444,480381,291639,212695,78944,701186,299749,401437,391744,243137,148607,75768,54975,20793,601081,269307,331774
Ganjam,2002,556359,286900,269459,391352,223138,168214,165007,63762,101245,166105,135592,30513,4957,3350,1607,390254,151308,238946
Ganjam,2002,2604276,1295086,1309190,1240370,782447,457923,1363906,512639,851267,1139827,682248,457579,166694,102115,64579,1464449,612838,851611
Ganganagar,2002,453357,245668,207689,297419,176984,120435,155938,68684,87254,140140,125052,15088,2405,2056,349,313217,120616,192601
Ganganagar,2002,1336066,709710,626356,668026,422893,245133,668040,286817,381223,579652,386543,193109,94382,75368,19014,756414,323167,433247
Gandhinagar,2002,467260,247529,219731,347057,196436,150621,120203,51093,69110,144633,121741,22892,4021,2893,1128,322627,125788,196839
Gandhinagar,2002,867195,450470,416725,532777,326139,206638,334418,124331,210087,409703,248721,160982,73860,51857,22003,457492,201749,255743
Gajapati,2002,52888,26561,26327,33198,18937,14261,19690,7624,12066,18191,13617,4574,1147,610,537,34697,12944,21753
Gajapati,2002,465949,228862,237087,142652,94987,47665,323297,133875,189422,257343,130935,126408,53954,29668,24286,208606,97927,110679
Gadchiroli,2002,67261,34454,32807,48197,26971,21226,19064,7483,11581,24325,17338,6987,1400,751,649,42936,17116,25820
Gadchiroli,2002,903033,456647,446386,441924,269343,172581,461109,187304,273805,472779,255052,217727,84873,43135,41738,430254,201595,228659
Gadag,2002,342183,173904,168279,220305,127189,93116,121878,46715,75163,129352,92344,37008,19769,9150,10619,212831,81560,131271
Gadag,2002,629652,319629,310023,331057,208253,122804,298595,111376,187219,328465,185106,143359,108766,48383,60383,301187,134523,166664
Firozpur,2002,450725,242354,208371,300219,172324,127895,150506,70030,80476,145019,126346,18673,5642,5070,572,305706,116008,189698
Firozpur,2002,1295382,683870,611512,603054,367021,236033,692328,316849,375479,503657,367047,136610,108073,89709,18364,791725,316823,474902
Firozabad,2002,622553,331555,290998,342834,202873,139961,279719,128682,151037,165327,145043,20284,1160,1040,120,457226,186512,270714
Firozabad,2002,1430405,777113,653292,722691,477440,245251,707714,299673,408041,393614,348948,44666,43770,41801,1969,1036791,428165,608626
Fatehpur,2002,237750,125259,112491,142417,83436,58981,95333,41823,53510,62422,54232,8190,2869,2250,619,175328,71027,104301
Fatehpur,2002,2070634,1094343,976291,920014,607390,312624,1150620,486953,663667,807190,537923,269267,123199,89155,34044,1263444,556420,707024
Fatehgarh Sahib,2002,151091,82200,68891,105301,59601,45700,45790,22599,23191,50131,44115,6016,1524,1383,141,100960,38085,62875
Fatehgarh Sahib,2002,386950,207937,179013,242063,138085,103978,144887,69852,75035,156008,115257,40751,17978,16640,1338,230942,92680,138262
Fatehabad,2002,142157,75646,66511,89320,51367,37953,52837,24279,28558,44194,37727,6467,1955,1567,388,97963,37919,60044
Fatehabad,2002,664001,352216,311785,302858,192125,110733,361143,160091,201052,318781,195132,123649,45003,32966,12037,345220,157084,188136
Farrukhabad,2002,341544,182214,159330,203278,118426,84852,138266,63788,74478,94284,83445,10839,4442,4309,133,247260,98769,148491
Farrukhabad,2002,1228864,667586,561278,577469,378049,199420,651395,289537,361858,368569,324301,44268,49963,48390,1573,860295,343285,517010
Faridkot,2002,193571,103653,89918,123919,71154,52765,69652,32499,37153,63852,53808,10044,1982,1785,197,129719,49845,79874
Faridkot,2002,357321,188943,168378,171699,100516,71183,185622,88427,97195,145902,102784,43118,32092,27524,4568,211419,86159,125260
Faridabad,2002,1221344,669493,551851,815749,491414,324335,405595,178079,227516,378683,330823,47860,3030,2078,952,842661,338670,503991
Faridabad,2002,973242,523570,449672,454052,313078,140974,519190,210492,308698,407079,245655,161424,27386,18071,9315,566163,277915,288248
Faizabad,2002,281273,152029,129244,179951,106601,73350,101322,45428,55894,81018,69867,11151,2529,2069,460,200255,82162,118093
Faizabad,2002,1807655,925443,882212,780410,504850,275560,1027245,420593,606652,742699,472143,270556,78352,56337,22015,1064956,453300,611656
Etawah,2002,308082,163310,144772,200325,115153,85172,107757,48157,59600,77585,70483,7102,2028,1911,117,230497,92827,137670
Etawah,2002,1030789,557439,473350,566082,360838,205244,464707,196601,268106,291024,259051,31973,41151,38473,2678,739765,298388,441377
Etah,2002,483663,256475,227188,254676,151609,103067,228987,104866,124121,123863,110901,12962,6529,6328,201,359800,145574,214226
Etah,2002,2306747,1252724,1054023,965722,668740,296982,1341025,583984,757041,678555,590359,88196,77897,71719,6178,1628192,662365,965827
Erode,2002,1193963,603842,590121,795163,447865,347298,398800,155977,242823,583422,388246,195176,110555,55981,54574,610541,215596,394945
Erode,2002,1387537,705436,682101,726792,440042,286750,660745,265394,395351,850983,482352,368631,300455,151894,148561,536554,223084,313470
Ernakulam,2002,1477085,729788,747297,1241359,625433,615926,235726,104355,131371,505823,395426,110397,5260,3762,1498,971262,334362,636900
Ernakulam,2002,1628713,808609,820104,1337454,682413,655041,291259,126196,165063,611268,452392,158876,46977,31446,15531,1017445,356217,661228
East Siang,2002,21965,11631,10334,13882,8108,5774,8083,3523,4560,6727,5309,1418,129,99,30,15238,6322,8916
East Siang,2002,65432,33634,31798,29613,17347,12266,35819,16287,19532,26825,15180,11645,1233,809,424,38607,18454,20153
East District,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East District,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ganderbal,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ganderbal,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamtara,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamtara,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kabeerdham,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kabeerdham,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kanshiram Nagar,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kanshiram Nagar,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khandwa (East Nimar),2002,459921,237602,222319,303101,171222,131879,156820,66380,90440,136814,113625,23189,9541,5309,4232,323107,123977,199130
Khandwa (East Nimar),2002,1253213,647364,605849,563717,363681,200036,689496,283683,405813,615881,353905,261976,206461,112850,93611,637332,293459,343873
East Khasi Hills,2002,277748,139435,138313,212011,109873,102138,65737,29562,36175,91233,63739,27494,368,226,142,186515,75696,110819
East Khasi Hills,2002,383175,194118,189057,203149,102764,100385,180026,91354,88672,165329,98154,67175,22078,14474,7604,217846,95964,121882
East Kameng,2002,15002,7910,7092,7907,5055,2852,7095,2855,4240,5076,3525,1551,16,11,5,9926,4385,5541
East Kameng,2002,42177,20892,21285,10431,6923,3508,31746,13969,17777,20873,10478,10395,428,255,173,21304,10414,10890
East Godavari,2002,1151885,574521,577364,774333,410843,363490,377552,163678,213874,367539,308135,59404,33220,25877,7343,784346,266386,517960
East Godavari,2002,3749535,1885119,1864416,2033395,1093833,939562,1716140,791286,924854,1572675,1128594,444081,713276,526062,187214,2176860,756525,1420335
East Garo Hills,2002,35907,18384,17523,23862,12689,11173,12045,5695,6350,12845,7986,4859,891,569,322,23062,10398,12664
East Garo Hills,2002,214675,109090,105585,97012,54456,42556,117663,54634,63029,99151,53169,45982,6054,4018,2036,115524,55921,59603
East,2002,1445360,783955,661405,1055368,605766,449602,389992,178189,211803,467954,407699,60255,582,403,179,977406,376256,601150
East,2002,18223,10119,8104,12771,7295,5476,5452,2824,2628,7356,5852,1504,40,32,8,10867,4267,6600
Durg,2002,1072309,555935,516374,761922,434706,327216,310387,121229,189158,318350,257003,61347,8659,4269,4390,753959,298932,455027
Durg,2002,1738127,861958,876169,1031968,598123,433845,706159,263835,442324,844483,440934,403549,222459,103895,118564,893644,421024,472620
Dungarpur,2002,80856,42127,38729,54203,31578,22625,26653,10549,16104,26024,19879,6145,218,117,101,54832,22248,32584
Dungarpur,2002,1026787,505664,521123,371237,251934,119303,655550,253730,401820,505352,261405,243947,14832,7407,7425,521435,244259,277176
Dumka,2002,114912,61112,53800,79506,46516,32990,35406,14596,20810,31194,26684,4510,487,357,130,83718,34428,49290
Dumka,2002,1644690,836252,808438,611328,416265,195063,1033362,419987,613375,747184,452558,294626,108493,76665,31828,897506,383694,513812
Dohad,2002,156323,80076,76247,103818,58483,45335,52505,21593,30912,49043,38654,10389,1084,602,482,107280,41422,65858
Dohad,2002,1480110,744132,735978,484256,326857,157399,995854,417275,578579,765547,387138,378409,40517,17943,22574,714563,356994,357569
Doda,2002,47695,27620,20075,34323,22040,12283,13372,5580,7792,16648,14558,2090,131,119,12,31047,13062,17985
Doda,2002,644234,335906,308328,240102,171794,68308,404132,164112,240020,301632,177100,124532,6176,5488,688,342602,158806,183796
Diu,2002,21578,9929,11649,15272,7889,7383,6306,2040,4266,6263,4556,1707,7,3,4,15315,5373,9942
Diu,2002,22637,10949,11688,10895,6477,4418,11742,4472,7270,7599,4819,2780,46,12,34,15038,6130,8908
Dindori,2002,26870,13814,13056,18772,10808,7964,8098,3006,5092,8566,6769,1797,209,152,57,18304,7045,11259
Dindori,2002,553860,277902,275958,242992,158974,84018,310868,118928,191940,322341,165103,157238,51964,25532,26432,231519,112799,118720
Dindigul,2002,673252,339064,334188,471285,259750,211535,201967,79314,122653,274056,194677,79379,50011,26109,23902,399196,144387,254809
Dindigul,2002,1249762,629073,620689,710461,421948,288513,539301,207125,332176,699276,390469,308807,263184,129277,133907,550486,238604,311882
Dima Hasao,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dima Hasao,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimapur,2002,114600,62400,52200,77998,44612,33386,36602,17788,18814,35110,30114,4996,119,93,26,79490,32286,47204
Dimapur,2002,194424,104263,90161,123352,71155,52197,71072,33108,37964,68196,47449,20747,2515,1858,657,126228,56814,69414
Dibrugarh,2002,228438,123437,105001,181441,101706,79735,46997,21731,25266,76212,65814,10398,328,208,120,152226,57623,94603
Dibrugarh,2002,956634,490118,466516,516707,304559,212148,439927,185559,254368,396207,241608,154599,11135,7224,3911,560427,248510,311917
Lower Dibang Valley,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Dibang Valley,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dibang Valley,2002,10107,5727,4380,7327,4453,2874,2780,1274,1506,3369,2799,570,10,5,5,6738,2928,3810
Dibang Valley,2002,47613,25715,21898,20527,13080,7447,27086,12635,14451,22331,13802,8529,1240,830,410,25282,11913,13369
Dhule,2002,445885,232008,213877,323900,180405,143495,121985,51603,70382,128149,107554,20595,4686,2798,1888,317736,124454,193282
Dhule,2002,1262062,646364,615698,716937,425631,291306,545125,220733,324392,609792,346685,263107,195360,103286,92074,652270,299679,352591
Dhubri,2002,192443,99470,92973,129041,72563,56478,63402,26907,36495,56923,49354,7569,732,585,147,135520,50116,85404
Dhubri,2002,1444901,741574,703327,496328,300883,195445,948573,440691,507882,413437,356320,57117,85108,76852,8256,1031464,385254,646210
Dhenkanal,2002,92914,48923,43991,69453,39502,29951,23461,9421,14040,26796,23438,3358,1271,1146,125,66118,25485,40633
Dhenkanal,2002,973964,495078,478886,569910,337735,232175,404054,157343,246711,329717,254082,75635,65738,53255,12483,644247,240996,403251
Dhemaji,2002,38832,20769,18063,27038,15634,11404,11794,5135,6659,12318,10323,1995,83,64,19,26514,10446,16068
Dhemaji,2002,533112,273874,259238,277568,166011,111557,255544,107863,147681,237828,135345,102483,5227,3503,1724,295284,138529,156755
Dhaulpur,2002,176618,95097,81521,95564,59684,35880,81054,35413,45641,54651,43859,10792,874,729,145,121967,51238,70729
Dhaulpur,2002,806640,443006,363634,363218,255437,107781,443422,187569,255853,374663,234254,140409,11086,9243,1843,431977,208752,223225
Dharwad,2002,881917,451929,429988,617854,342808,275046,264063,109121,154942,292280,232739,59541,19559,9948,9611,589637,219190,370447
Dharwad,2002,722336,371275,351061,374696,231714,142982,347640,139561,208079,392212,228381,163831,111370,53272,58098,330124,142894,187230
Dharmapuri,2002,455946,233475,222471,311311,173781,137530,144635,59694,84941,173521,128937,44584,14346,7998,6348,282425,104538,177887
Dharmapuri,2002,2400354,1240122,1160232,1204910,733162,471748,1195444,506960,688484,1239729,724253,515476,285722,145016,140706,1160625,515869,644756
Dhar,2002,288184,153706,134478,180439,108751,71688,107745,44955,62790,97538,79587,17951,6540,3925,2615,190646,74119,116527
Dhar,2002,1452145,736710,715435,554804,362106,192698,897341,374604,522737,713877,387734,326143,116009,65701,50308,738268,348976,389292
Dhanbad,2002,1255358,680878,574480,800854,491198,309656,454504,189680,264824,313158,286125,27033,1428,1268,160,942200,394753,547447
Dhanbad,2002,1141744,598068,543676,547730,369385,178345,594014,228683,365331,350900,272013,78887,14874,12280,2594,790844,326055,464789
Dhamtari,2002,93584,46993,46591,63481,35694,27787,30103,11299,18804,36071,23941,12130,1975,857,1118,57513,23052,34461
Dhamtari,2002,613007,305531,307476,378440,218269,160171,234567,87262,147305,318159,166607,151552,85200,41494,43706,294848,138924,155924
Dhalai,2002,18867,9967,8900,14587,8149,6438,4280,1818,2462,6318,5431,887,485,432,53,12549,4536,8013
Dhalai,2002,289001,149128,139873,143810,86379,57431,145191,62749,82442,120443,77807,42636,22566,16803,5763,168558,71321,97237
Dewas,2002,358347,186813,171534,233585,137283,96302,124762,49530,75232,111025,89171,21854,8547,5500,3047,247322,97642,149680
Dewas,2002,949876,491053,458823,422784,285422,137362,527092,205631,321461,469397,261662,207735,104731,62457,42274,480479,229391,251088
Deoria,2002,268305,139766,128539,165562,97428,68134,102743,42338,60405,61830,54558,7272,1772,1404,368,206475,85208,121267
Deoria,2002,2444345,1215257,1229088,1122758,720472,402286,1321587,494785,826802,712072,494136,217936,67906,48415,19491,1732273,721121,1011152
Deoghar,2002,159851,86680,73171,113183,67185,45998,46668,19495,27173,40596,36558,4038,226,200,26,119255,50122,69133
Deoghar,2002,1005539,522198,483341,356469,260372,96097,649070,261826,387244,392118,263680,128438,59172,47443,11729,613421,258518,354903
Dehradun,2002,678742,364278,314464,516998,292796,224202,161744,71482,90262,199977,175134,24843,830,663,167,478765,189144,289621
Dehradun,2002,603401,315305,288096,359443,212583,146860,243958,102722,141236,200498,149591,50907,10945,9200,1745,402903,165714,237189
Debagarh,2002,20096,10518,9578,13376,7750,5626,6720,2768,3952,6656,5287,1369,67,62,5,13440,5231,8209
Debagarh,2002,254012,127890,126122,126501,77870,48631,127511,50020,77491,119604,68625,50979,16863,11965,4898,134408,59265,75143
Davanagere,2002,542998,280035,262963,369510,204681,164829,173488,75354,98134,186637,146364,40273,7243,4226,3017,356361,133671,222690
Davanagere,2002,1247954,637670,610284,676110,401871,274239,571844,235799,336045,597144,374311,222833,162895,86976,75919,650810,263359,387451
Dausa,2002,135818,71847,63971,85791,53023,32768,50027,18824,31203,37001,31392,5609,371,263,108,98817,40455,58362
Dausa,2002,1181245,621591,559654,564785,386914,177871,616460,234677,381783,505533,285893,219640,10903,6479,4424,675712,335698,340014
Datia,2002,137549,73562,63987,90745,54073,36672,46804,19489,27315,46015,35655,10360,1357,945,412,91534,37907,53627
Datia,2002,490691,264670,226021,282613,182268,100345,208078,82402,125676,270005,154995,115010,24752,15657,9095,220686,109675,111011
Burhanpur,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burhanpur,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darrang,2002,74828,39974,34854,56227,32125,24102,18601,7849,10752,25155,21843,3312,176,166,10,49673,18131,31542
Darrang,2002,1429492,733887,695605,628771,375507,253264,800721,358380,442341,502838,364577,138261,46828,40923,5905,926654,369310,557344
Darjiling,2002,520432,274011,246421,390815,216937,173878,129617,57074,72543,166203,136234,29969,334,235,99,354229,137777,216452
Darjiling,2002,1088740,556633,532107,617473,364483,252990,471267,192150,279117,403239,266736,136503,30954,23642,7312,685501,289897,395604
Darbhanga,2002,267348,142377,124971,168893,100056,68837,98455,42321,56134,62307,56192,6115,632,587,45,205041,86185,118856
Darbhanga,2002,3028441,1579812,1448629,998679,680596,318083,2029762,899216,1130546,966251,738145,228106,341419,279903,61516,2062190,841667,1220523
Chikkaballapura,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chikkaballapura,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chirang,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chirang,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dakshin Bastar Dantewada,2002,52012,27314,24698,35327,20762,14565,16685,6552,10133,17625,14285,3340,168,129,39,34387,13029,21358
Dakshin Bastar Dantewada,2002,667475,329614,337861,141617,94864,46753,525858,234750,291108,362619,190084,172535,15747,8504,7243,304856,139530,165326
